vehicle_id,timestamp,count,speed,max_speed,acceleration,max_acceleration,max_deceleration,allow_speed,position_x,position_y,angle,road_id,lane_id,lane_position,change_lane,leader_vehicle_distance,leader_vehicle_speed,follower_vehicle_distance,follower_vehicle_speed,left_leader_vehicle_distance,left_leader_vehicle_speed,left_follower_vehicle_distance,left_follower_vehicle_speed,right_leader_vehicle_distance,right_leader_vehicle_speed,right_follower_vehicle_distance,right_follower_vehicle_speed,distance,signal_states,tua,last_action_time,wait_time
0,1,1,0,55.55555556,0,2.6,4.5,13.89,11608.56858,7469.77951,256.6162524,493378222,493378222_0,5.1,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,1,1,0
0,2,3,2.522357051,55.55555556,2.522357051,2.6,4.5,13.89,11606.85476,7466.076426,256.621821,493378222,493378222_1,7.622357051,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,2.522357051,0,1,1,0
1,2,3,0,55.55555556,0,2.6,4.5,13.89,11730.33633,7706.7249,180.7680358,-85686802,-85686802_0,5.1,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,1,2,0
2,2,3,0,55.55555556,0,2.6,4.5,22.22,11988.62313,7549.231176,256.867199,513082649,513082649_0,5.1,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,1,2,0
0,3,5,4.737937806,55.55555556,2.215580755,2.6,4.5,13.89,11602.98557,7461.870215,256.621821,493378222,493378222_2,12.36029486,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,7.260294857,0,1,2,0
1,3,5,2.143144042,55.55555556,2.143144042,2.6,4.5,13.89,11730.0331,7704.603293,185.0383926,-85686802,-85686802_0,7.243144042,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,2.143144042,0,1,2,0
2,3,5,2.414341413,55.55555556,2.414341413,2.6,4.5,22.22,11986.27181,7548.682588,256.867199,513082649,513082649_0,7.514341413,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,2.414341413,0,1,2,0
3,3,5,0,55.55555556,0,2.6,4.5,13.89,12814.54,8453.93,81.28188349,70662727#6,70662727#6_0,1.02,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,1,3,0
4,3,5,0,55.55555556,0,2.6,4.5,27.78,10319.54483,8462.713146,110.2672458,15670287#3,15670287#3_0,5.1,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,1,3,0
0,4,7,6.527289147,55.55555556,1.78935134,2.6,4.5,13.89,11597.37565,7457.248119,256.6162524,493378222,493378222_3,18.887584,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,13.787584,0,1,3,0
1,4,7,3.550346355,55.55555556,1.407202313,2.6,4.5,13.89,11729.53077,7701.088626,188.133886,-85686802,-85686802_0,10.7934904,1621,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,5.693490397,0,1,3,0
